,s,E,Gammaod
0,4.105939527606028e-12,1.4999999999994011,1.4142135623681353
1,4.1063501215587884e-08,1.4999999940115731,1.4142135127694515
2,4.516574539761907e-07,1.4999999341333206,1.414213016782739
3,4.130580854582794e-06,1.499999397625939,1.4142085727486566
4,1.5232350377755647e-05,1.4999977786451535,1.4141951622188775
5,3.989924685430686e-05,1.4999941815592777,1.4141653659952707
6,9.234352666088696e-05,1.4999865342980079,1.4141020184646158
7,0.0002066887505339294,1.499969863201885,1.4139639111116955
8,0.00046865206537939494,1.4999316821905724,1.4136475629975862
9,0.0011514672085218757,1.499832242278428,1.412823344893291
10,0.0026593581553158202,1.4996130537712085,1.4110049912964353
11,0.004167249102109765,1.4993944274320172,1.409189118295941
12,0.00567514004890371,1.4991763618633973,1.407375722201195
13,0.009002123995668174,1.4986972013281148,1.4033834170675274
14,0.012329107942432638,1.4982207484683023,1.3994031108574787
15,0.015656091889197102,1.497746988058713,1.3954347631161985
16,0.02071692858869687,1.497031454871874,1.3894211513907113
17,0.030091737539800566,1.4957221611234772,1.3783537490007869
18,0.04795512154236907,1.4932844335018989,1.3575224283142127
19,0.06581850554493757,1.4909196484373586,1.3370233034967072
20,0.08368188954750606,1.4886255715474828,1.3168503109786758
21,0.11905366777883114,1.4842833103289148,1.2778445875180742
22,0.1544254460101562,1.4801939588514281,1.2400503156810823
23,0.18979722424148127,1.476342434200799,1.2034249767127845
24,0.22516900247280633,1.4727146509469236,1.1679280782096837
25,0.2605407807041314,1.4692974332800677,1.133520972246568
26,0.2959125589354565,1.4660784020310433,1.1001666497944287
27,0.3312843371667816,1.4630459056339031,1.067829612220192
28,0.36665611539810666,1.460188983517157,1.0364758022101925
29,0.42640371207780875,1.455733516088771,0.9856574589087589
30,0.48615130875751084,1.451704112042999,0.9374026111816524
31,0.5458989054372129,1.4480596293866264,0.8915720196807071
32,0.605646502116915,1.4447629749758748,0.8480353456099738
33,0.665394098796617,1.4417806645818652,0.8066703462674887
34,0.7251416954763191,1.4390824783562914,0.7673623027339884
35,0.7848892921560212,1.4366411450677994,0.7300034330304662
36,0.88535252372119,1.4330480609441842,0.6713022246516246
37,0.9858157552863588,1.43001007359787,0.617382308408395
38,1.0862789868515277,1.4274412567348436,0.5678408722646276
39,1.1867422184166965,1.4252690998469117,0.5223119881026166
40,1.2872054499818653,1.423432108453907,0.4804621698948594
41,1.387668681547034,1.42187824249703,0.44198724422808533
42,1.4881319131122028,1.4205636769761367,0.40660989214815857
43,1.5885951446773716,1.4194515161300727,0.37407691995141745
44,1.7591140939865122,1.417941731148135,0.32472552788801
45,1.9296330432956528,1.41680529635538,0.28190262157270257
46,2.1001519926047933,1.4159497197196882,0.24473761780388467
47,2.270670941913934,1.415305177404586,0.21247811519307488
48,2.4411898912230745,1.414819411706283,0.1844739626722384
49,2.611708840532215,1.4144533870147178,0.16016270867589638
50,2.7822277898413557,1.414177699955442,0.13905654723529418
51,2.9527467391504962,1.4139700521068055,0.12073214182027771
52,3.123265688459637,1.4138135880985774,0.10482236062134878
53,3.2937846377687774,1.4136956635642108,0.09100894303908752
54,3.464303587077918,1.4136068031585007,0.0790156631827492
55,3.6348225363870585,1.4135398628358937,0.06860259207100604
56,3.805341485696199,1.413489433514994,0.059561445162091345
57,3.9758604350053397,1.4134514320528528,0.051711533326970725
58,4.14637938431448,1.4134227916408189,0.04489597009125721
59,4.316898333623621,1.4134012098227462,0.038978502864771614
60,4.487417282932762,1.4133849502351408,0.033840788062130166
61,4.657936232241903,1.4133726998582588,0.029380082299528515
62,4.828455181551044,1.4133634681458882,0.025507197536037945
63,4.998974130860185,1.41335651064256,0.022144706297155144
64,5.169493080169326,1.4133512678104347,0.0192253732656375
65,5.340012029478467,1.413347317662844,0.01669080913226345
66,5.5105309787876084,1.4133443413526199,0.014490311379006979
67,5.6810499280967495,1.4133420984399607,0.0125798587918405
68,5.8515688774058905,1.413340408110706,0.010921232440659154
69,6.0220878267150315,1.4133391343618598,0.00948124873131718
70,6.1926067760241725,1.4133381746314233,0.0082310940812525
71,6.3631257253333136,1.413337451478128,0.007145749519921823
72,6.533644674642455,1.4133369065205343,0.006203492307333749
73,6.704163623951596,1.4133364958338395,0.005385462545290953
74,6.874682573260737,1.4133361863609553,0.004675285941936729
75,7.045201522569878,1.413335953175633,0.004058745840403254
76,7.215720471879019,1.4133357774668691,0.003523498791260856
77,7.38623942118816,1.4133356450561458,0.0030588279066266696
78,7.556758370497301,1.413335545271846,0.002655428801544833
79,7.727277319806442,1.4133354700794933,0.002305223541134843
