,g,Ref Energy,Total Steps,Total Time,RAM Usage
0,-1.3,2.5015282894298205,11.736247494330645,317.16370101302164,710.095703125
1,-1.2,2.454190264779302,11.325834604929472,211.08473339799093,660.0810546875
2,-1.1,2.4023364280133426,10.9727360073902,203.065545674006,655.53515625
3,-1.0,2.3461430898588644,10.58803463060432,173.4240279159858,656.16796875
4,-0.9,2.285725640837051,10.338032650110286,159.58490267698653,652.447265625
5,-0.8,2.2211553932439103,10.077898434558387,196.13299763499526,658.779296875
6,-0.7,2.1524642590146685,9.731552187282652,160.69219572201837,652.390625
7,-0.6,2.079638327021243,9.669129387106704,159.02474297501612,652.4609375
8,-0.5,2.0026348011748016,9.446908684107322,166.64333311398514,652.2724609375
9,-0.4,1.921369423173379,9.391303613233958,187.99606322398176,652.39453125
10,-0.3,1.8357185171465047,9.414740305356124,155.12316685402766,652.2138671875
11,-0.2,1.7455082625110807,9.379303750371205,164.67834887298523,652.4423828125
12,-0.1,1.6505110512824581,9.323411457573043,152.73977613798343,652.505859375
13,0.0,1.5504279367229634,9.257869833211092,329.6210650349967,652.220703125
14,0.1,1.4448749122587947,9.376175592942518,197.53999581199605,652.2138671875
15,0.2,1.3333595014925426,9.226576112263654,148.42764808196807,652.2138671875
16,0.3,1.2152495772860958,9.178864425627339,153.45476384100039,652.328125
17,0.4,1.0897281070392848,9.265264823696262,171.3527972959564,652.1025390625
18,0.5,0.9557273724867288,9.587858761101064,146.9309433880262,652.1025390625
19,0.6,0.811822402771501,10.228448356419722,160.94298571703257,652.328125
20,0.7,0.6560573737942491,11.368529294417538,181.84012000303483,652.6806640625
21,0.8,0.4856278255112422,12.838376801930222,160.23720885097282,652.2763671875
22,0.9,0.29624264473313067,15.021832155975707,182.52016999101033,652.26953125
23,1.0,0.08065234234881523,18.845459884102286,203.35043190198485,652.3251953125
24,1.1,-0.17579777857678336,22.735447331621298,190.56626708601834,652.556640625
25,1.2,-0.5227782720861994,50.063202613815534,349.78649116604356,652.1025390625
