,s,E,Gammaod
0,5.229456331062021e-10,1.4999999992762543,1.6248076789864248
1,2.214495421700733e-06,1.499998306539716,1.6247985864167112
2,9.841451584234934e-06,1.499992475313014,1.6247672637907657
3,1.7468407746769135e-05,1.4999866442380436,1.6247359419030611
4,2.5095363909303336e-05,1.4999808133274424,1.6247046208054199
5,3.808139902232166e-05,1.4999708857192655,1.6246512938137119
6,6.106187546007315e-05,1.499953318736943,1.6245569305602758
7,0.00010227413041021525,1.4999218187008845,1.6243877218677698
8,0.0001795335242447416,1.4998627799349633,1.6240705755012483
9,0.0003369509791865342,1.4997425414836694,1.6234246427292978
10,0.0006846077335726222,1.4994772516271588,1.6219993282294212
11,0.00103226448795871,1.4992123151556065,1.6205757043534421
12,0.001379921242344798,1.4989477314667108,1.6191537687826154
13,0.002024666549078958,1.49845798048136,1.6165211847592373
14,0.0026694118558131183,1.4979694368560275,1.6138943844011864
15,0.0033141571625472785,1.4974820966025622,1.6112733524779514
16,0.003958902469281439,1.4969959556009218,1.6086580733916165
17,0.005407764027654357,1.4959078618809871,1.6028019693571527
18,0.007647946224522627,1.494237263127708,1.5938040847470907
19,0.010267319025636833,1.49230182872114,1.5833696268784836
20,0.01288669182675104,1.4903854899340272,1.57302744646746
21,0.015506064627865246,1.4884879916918796,1.5627765605618515
22,0.01812543742897945,1.4866090839239,1.552616000831142
23,0.022928777072415196,1.4832110780786485,1.5342153457164376
24,0.02624518821866879,1.4809001860987907,1.52168317115927
25,0.029561599364922385,1.4786175174911633,1.5092896308530699
26,0.03287801051117598,1.476362604993322,1.4970328844742704
27,0.03619442165742958,1.4741349908862362,1.4849111213902033
28,0.03951083280368318,1.4719342268188498,1.4729225601917162
29,0.042827243949936776,1.4697598734757962,1.4610654478894576
30,0.046143655096190374,1.4676115002894607,1.4493380592105263
31,0.05181337833913542,1.46399761964461,1.4295845727870335
32,0.05748310158208047,1.46045638937242,1.4101969762360582
33,0.06315282482502552,1.4569858259328912,1.391167186425397
34,0.06882254806797056,1.4535840118879904,1.3724873347835038
35,0.0744922713109156,1.450249093085197,1.354149760259789
36,0.08356705466711865,1.4450460909920855,1.3254929931944244
37,0.09264183802332171,1.4400028468904633,1.2976644803593154
38,0.10171662137952477,1.4351126815352642,1.270635888923214
39,0.11079140473572782,1.430369257228485,1.244380049719285
40,0.11986618809193088,1.425766557983282,1.218870902786822
41,0.12894097144813393,1.4212988705035925,1.1940834452070797
42,0.138015754804337,1.4169607663236872,1.1699936817151444
43,0.14709053816054007,1.4127470853690582,1.1465785783666294
44,0.15616532151674314,1.4086529207438132,1.1238160189053996
45,0.16524010487294621,1.4046736044197012,1.1016847632497326
46,0.17431488822914928,1.400804693732953,1.0801644080534427
47,0.18338967158535235,1.3970419587200686,1.059235349312577
48,0.19704507785770092,1.3915712062046415,1.0288151045547271
49,0.2107004841300495,1.3863188626149932,0.9996301453768864
50,0.22435589040239806,1.3812728928165652,0.9716228622903947
51,0.23801129667474663,1.3764220844906772,0.9447389231518972
52,0.2516667029470952,1.371755983606851,0.9189270646411608
53,0.26532210921944377,1.367264834616214,0.8941388978880089
54,0.27897751549179234,1.362939525448647,0.8703287275053697
55,0.2926329217641409,1.358771537710503,0.8474533836774089
56,0.3062883280364895,1.3547529016101787,0.825472066197942
57,0.31994373430883805,1.3508761547293593,0.8043461991279692
58,0.3335991405811866,1.347134304062458,0.7840392949553657
59,0.3472545468535352,1.343520791204221,0.7645168279861546
60,0.36090995312588375,1.3400294604547422,0.745746115641892
61,0.3745653593982323,1.3366545296457948,0.7276962075878267
62,0.3882207656705809,1.333390563361322,0.7103377820154012
63,0.4094774227570672,1.3285185636079992,0.684627725316344
64,0.43073407984355355,1.323885275209162,0.6604283152391056
65,0.4519907369300399,1.3194743984395196,0.637649244242992
66,0.4732473940165262,1.315271042122877,0.6162071965914341
67,0.49450405110301254,1.311261582180872,0.5960252150270984
68,0.5157607081894988,1.307433532680629,0.5770321167367696
69,0.5370173652759851,1.3037754301660325,0.5591619610486206
70,0.5582740223624714,1.3002767327429474,0.5423535667012834
71,0.5795306794489576,1.2969277314785794,0.526550068367674
72,0.6007873365354439,1.2937194717258564,0.5116985117537463
73,0.6220439936219302,1.2906436823363219,0.4977494831516656
74,0.6433006507084165,1.287692712230849,0.4846567711874034
75,0.6645573077949027,1.2848594739172152,0.47237705833668253
76,0.685813964881389,1.282137393172295,0.46086964032626354
77,0.7177118333115693,1.2782479310058468,0.4449671709609389
78,0.7496097017417496,1.2745762667168363,0.4305971288836619
79,0.7815075701719298,1.2711054314119228,0.41764800070219293
80,0.8134054386021101,1.2678201238547906,0.4060162750417403
81,0.8453033070322904,1.2647065177176249,0.39560538059807226
82,0.8772011754624707,1.2617520877502646,0.38632481504354044
83,0.909099043892651,1.2589454581493755,0.37808945951016504
84,0.9409969123228312,1.2562762734460347,0.3708190494291633
85,0.9728947807530115,1.253735089065981,0.3644377783359334
86,1.0047926491831918,1.251313275541201,0.35887400717769635
87,1.0544342712683104,1.2477633271765116,0.3516830646775512
88,1.104075893353429,1.2444568562857465,0.34607239088606956
89,1.1537175154385475,1.2413704200066185,0.3418266282951861
90,1.203359137523666,1.2384833724347073,0.338751254242594
91,1.2530007596087847,1.2357774885667587,0.33667188033332923
92,1.3026423816939032,1.2332366241788744,0.3354334187106709
93,1.3522840037790218,1.230846429759136,0.3348990584558099
94,1.4019256258641404,1.2285941121247321,0.33494904659350755
95,1.451567247949259,1.2264682428704548,0.33547932775948486
96,1.5012088700343775,1.2244585911204862,0.33640009798132975
