,g,b,Ref Energy,Total Steps,Total Time,RAM Usage
0,0.0,-0.1,1.9833733336242922,1.347003215088921,20.719483202323318,1946.208984375
0,0.0,0.1,1.9833439903588954,1.3176685238289256,20.929829502478242,1945.7705078125
0,0.0,-0.2,1.9315954164893008,2.218254921223873,22.109521500766277,1950.6474609375
0,0.0,0.2,1.9322784623509517,1.892352972552556,21.160378120839596,1952.1689453125
0,0.0,-0.3,1.842577352763529,3.101396887135603,27.6164126470685,1954.380859375
0,0.0,0.3,1.8472406797154646,2.476372796476178,23.962769264355302,1951.7041015625
0,0.0,-0.4,1.7119162388825735,3.946465202810779,32.35104142688215,1958.7275390625
0,0.0,0.4,1.726118646098155,3.0965796231360407,27.39693496003747,1959.56640625
0,0.0,-0.5,1.561088130157201,15.09810112151699,45.94301893748343,1974.8134765625
0,0.0,0.5,1.5796840887036863,3.6688622701097127,33.623041834682226,1963.783203125
0,-0.1,0.0,2.0971650608732575,1.5932183544704066,20.833758041262627,1945.4150390625
0,0.1,0.0,1.896997844632922,1.6709668267300957,21.77994790300727,1945.861328125
0,-0.1,-0.1,2.080400551639352,1.667777542350533,21.688857663422823,1949.9462890625
0,-0.1,0.1,2.0802768214959566,1.6792010437166054,22.64346258342266,1953.2900390625
0,0.1,-0.1,1.8800887497426033,1.7403030219062998,22.917496401816607,1951.0634765625
0,0.1,0.1,1.8801624853285335,1.7061508811309387,21.880034735426307,1949.921875
0,-0.1,-0.2,2.029266333594768,2.1932120282258016,21.937190629541874,1953.8916015625
0,-0.1,0.2,2.0289662892825158,2.041874974530195,21.999855183064938,1950.94921875
0,0.1,-0.2,1.8280222937464363,2.2938937358935623,21.754175644367933,1951.2109375
0,0.1,0.2,1.8295589082868127,1.9824077537213836,22.384493868798018,1950.5185546875
0,-0.1,-0.3,1.9409511169636753,3.2009202979838864,27.982489567250013,1960.767578125
0,-0.1,0.3,1.9432439597486015,2.537566089945165,24.42540766298771,1954.72265625
0,0.1,-0.3,1.7384882263117396,3.1046207405875266,28.164081966504455,1959.50390625
0,0.1,0.3,1.744566987243942,2.43823226323159,24.126384787261486,1959.1513671875
0,-0.1,-0.4,1.7587128652251853,15.228663350849168,38.82237654551864,1966.9140625
0,-0.1,0.4,1.822575740119868,2.858969283015387,26.132065312936902,1963.583984375
0,0.1,-0.4,1.6050122175821138,3.9365216053356384,33.28085784614086,1961.3076171875
0,0.1,0.4,1.6260589820766485,3.116407387296225,26.601551515981555,1958.56640625
0,-0.1,-0.5,1.6332543925485634,15.006924219490347,42.00571131519973,1967.8740234375
0,-0.1,0.5,1.6187498540556908,15.097674748465263,41.999563531950116,1968.3408203125
0,0.1,-0.5,1.4119370125518733,15.046296664418428,45.99821329116821,1970.8828125
0,0.1,0.5,1.4803013847933806,3.1743803211143593,35.64713824354112,1960.9921875
0,-0.2,0.0,2.188946845607364,1.9312071450290003,23.52776176854968,1948.6064453125
0,0.2,0.0,1.7876043531146661,2.028308630803113,22.5682404730469,1948.1083984375
0,-0.2,-0.1,2.172117944907147,1.9322738678123694,22.567710449919105,1951.3857421875
0,-0.2,0.1,2.1719059548855024,1.9708074930028845,23.9245744086802,1950.9814453125
0,0.2,-0.1,1.7704374937305607,2.0791427102578957,21.876674531027675,1949.537109375
0,0.2,0.1,1.770730779872136,2.0493136416713544,26.749871909618378,1955.7744140625
0,-0.2,-0.2,2.12146216697019,2.260596689256539,22.45659624785185,1951.4482421875
0,-0.2,0.2,2.120138570356457,2.233770340905468,23.451487693935633,1952.4248046875
0,0.2,-0.2,1.718016036544731,2.426201059606715,23.06954244337976,1955.11328125
0,0.2,0.2,1.7204282484824212,2.175531114426096,23.585680443793535,1950.03515625
0,-0.2,-0.3,2.0339293968770753,3.2433820591692526,29.721917955204844,1959.82421875
0,-0.2,0.3,2.0341669070369655,2.6304546999260188,29.268165549263358,1958.736328125
0,0.2,-0.3,1.6272047832111347,3.2063172324193023,31.16465887054801,1958.9150390625
0,0.2,0.3,1.6365087239414209,2.484249055671194,24.281886959448457,1950.763671875
0,-0.2,-0.4,1.8165377066788053,15.184691387946291,38.049895126372576,1964.662109375
0,-0.2,0.4,1.9141276280811235,2.90131363255097,34.41542663052678,1963.986328125
0,0.2,-0.4,1.4927128981825746,4.1299994236940485,36.23547186143696,1965.2333984375
0,0.2,0.4,1.521550197923071,2.8158760301666805,25.558629306033254,1956.69921875
0,-0.2,-0.5,1.8662750447220111,15.168340092257324,45.9875309355557,1971.8642578125
0,-0.2,0.5,1.7725710293450114,15.117020222413604,44.93031695857644,1970.0361328125
0,0.2,-0.5,1.294400597877826,5.228309647093826,37.79412164911628,1965.5771484375
0,0.2,0.5,1.351963723004895,15.00055572756233,38.34090309217572,1965.9189453125
0,-0.3,0.0,2.2757400479240655,2.131821763097648,23.28329747542739,1950.6015625
0,0.3,0.0,1.6711379226643288,2.306177645395399,26.956687282770872,1950.23046875
0,-0.3,-0.1,2.258836245193494,2.117033922072485,28.253125255927444,1959.90625
0,-0.3,0.1,2.2584378024043,2.1651551375818623,21.985815392807126,1950.8544921875
0,0.3,-0.1,1.6538168229495964,2.303988505683631,23.772738736122847,1948.986328125
0,0.3,0.1,1.6541848303749074,2.3096891421425507,25.04303857497871,1951.478515625
0,-0.3,-0.2,2.208506622499372,2.3670028938682712,28.53711544536054,1957.5546875
0,-0.3,0.2,2.2067174801615597,2.3338287458658313,27.868812393397093,1958.619140625
0,0.3,-0.2,1.6011531735343807,2.5893263938618296,24.907219532877207,1953.8935546875
0,0.3,0.2,1.6040773569815285,2.3534207139456385,27.121796498075128,1959.0888671875
0,-0.3,-0.3,2.122869306368006,3.520549493609683,31.429089833050966,1961.1337890625
0,-0.3,0.3,2.1197452463135913,2.687097974177269,27.187323782593012,1961.849609375
0,0.3,-0.3,1.5085478379265904,3.203728315817068,28.689149357378483,1958.0947265625
0,0.3,0.3,1.5203461417807012,2.60802018559994,27.90523306839168,1957.998046875
0,-0.3,-0.4,1.9554845376541108,15.024507146502003,39.34743617288768,1967.5185546875
0,-0.3,0.4,1.9989441496482885,2.8769075746294903,33.08672464080155,1961.1298828125
0,0.3,-0.4,1.3716419056994773,4.0374738861769375,36.97983536310494,1968.486328125
0,0.3,0.4,1.4063343125818435,2.994849301057915,32.05508892796934,1960.240234375
0,-0.3,-0.5,1.9924693331127385,15.099364491613883,46.090379528701305,1971.2490234375
0,-0.3,0.5,1.8454090279296007,3.227623597158211,32.8184315841645,1963.2236328125
0,0.3,-0.5,1.1708419061083024,6.197639582854412,40.39133311994374,1965.4609375
0,0.3,0.5,1.2633851322189318,3.5304999027885913,36.82332388870418,1962.65625
0,-0.4,0.0,2.357870257570804,2.2912766530738304,28.007640957832336,1951.5751953125
0,0.4,0.0,1.546792244385079,2.525466551191147,26.467159850522876,1951.279296875
0,-0.4,-0.1,2.3407795372044533,2.2892549359386867,25.040740754455328,1956.65625
0,-0.4,0.1,2.340482324699448,2.27627658714722,24.769679164513946,1956.13671875
0,0.4,-0.1,1.5293888277863723,2.5444731957005344,29.642077879980206,1963.1064453125
0,0.4,0.1,1.5297948644680717,2.4941538275555013,28.853898987174034,1959.326171875
0,-0.4,-0.2,2.290762631158216,2.384044234390037,27.377992568537593,1961.556640625
0,-0.4,0.2,2.288442865161231,2.410093109405191,27.11492352001369,1959.04296875
0,0.4,-0.2,1.4760751769659295,2.681528011588726,24.88364315778017,1950.56640625
0,0.4,0.2,1.4796236765386694,2.543823336506607,32.60210792534053,1961.486328125
0,-0.4,-0.3,2.2087347159149893,3.1703126600223235,30.049000091850758,1961.3046875
0,-0.4,0.3,2.2008808688389117,2.7234699646810103,35.68865733593702,1959.69140625
0,0.4,-0.3,1.3834330041623288,3.251538196141099,30.5568263605237,1959.7314453125
0,0.4,0.3,1.3963736845067967,2.7755090534794844,30.002603977918625,1960.845703125
0,-0.4,-0.4,2.0802388705643673,5.048741972139624,31.347637742757797,1960.603515625
0,-0.4,0.4,2.0785624066940236,2.9356858007451336,30.482149017974734,1958.86328125
0,0.4,-0.4,1.241190082881978,4.073394936037131,28.89266523718834,1958.2373046875
0,0.4,0.4,1.2838353766566644,3.065802291225515,31.964681658893824,1963.283203125
0,-0.4,-0.5,2.0519725521976904,15.093378521917415,49.8194263279438,1970.1279296875
0,-0.4,0.5,1.924617556223001,3.1302308971708666,37.46124089322984,1966.83984375
0,0.4,-0.5,1.03313111854627,6.21814832209042,39.414367431774735,1965.8603515625
0,0.4,0.5,1.147563580213413,15.11432030094127,45.63318292982876,1973.2685546875
0,-0.5,0.0,2.4356044767023612,2.3700720360060936,30.85814778879285,1956.400390625
0,0.5,0.0,1.4134391266723616,2.751415806549856,28.617355106398463,1955.6982421875
0,-0.5,-0.1,2.418352753834588,2.399202247522083,27.27272335998714,1957.0322265625
0,-0.5,0.1,2.4179355080336715,2.454643495443277,26.861656107008457,1959.3681640625
0,0.5,-0.1,1.3959440332812354,2.7691544185599004,27.149589149281383,1958.2880859375
0,0.5,0.1,1.3964392928822593,2.695250546193511,28.30211197026074,1959.4423828125
0,-0.5,-0.2,2.3695029694046563,2.511829700945153,30.64066732674837,1958.859375
0,-0.5,0.2,2.3657720732902057,2.4940001374112324,28.043770207092166,1961.6474609375
0,0.5,-0.2,1.3416371071797124,2.8657045529562524,29.053411558270454,1959.3701171875
0,0.5,0.2,1.3463478823743913,2.7495702182067703,27.100063292309642,1957.5234375
0,-0.5,-0.3,2.2868379041940026,3.4798497183338495,33.678388768807054,1959.849609375
0,-0.5,0.3,2.2777005837466557,2.807076530763134,31.519628578796983,1962.361328125
0,0.5,-0.3,1.2469587493724388,3.2992661269769146,34.12395618110895,1962.1640625
0,0.5,0.3,1.2648622490865902,2.93644542007207,33.93940393254161,1962.484375
0,-0.5,-0.4,2.1845462761075747,15.111028042311409,49.23182614147663,1970.9287109375
0,-0.5,0.4,2.1538156590445374,2.9142430417641,31.895258329808712,1965.7294921875
0,0.5,-0.4,1.1023339892483064,4.18650005065574,37.05756255052984,1965.4892578125
0,0.5,0.4,1.1525612789911357,3.161396760453498,31.865394316613674,1962.1826171875
0,-0.5,-0.5,2.124437872576453,15.0481563956745,46.62422923184931,1977.48828125
0,-0.5,0.5,2.0043660812949655,15.106039314663118,45.076112318784,1969.0439453125
0,0.5,-0.5,0.8884803441067288,6.855722989630141,43.09488453157246,1969.1279296875
0,0.5,0.5,1.0101175177998587,3.9374781360794504,32.993399715051055,1961.767578125
