,g,b,Ref Energy,Total Steps,Total Time,RAM Usage
0,0.0,-0.1,1.9833806187867113,1.340574727068267,162.1167829297483,777.3095703125
0,0.0,0.1,1.9833494924445418,1.3139864519660849,135.35822364129126,775.21484375
0,0.0,-0.2,1.931825938293808,2.1884421290644926,171.31767872162163,779.9267578125
0,0.0,0.2,1.9322872040529375,1.9277044803336356,168.16313705593348,780.6884765625
0,0.0,-0.3,1.8440304215657102,3.061108081932187,203.6673088837415,783.0966796875
0,0.0,0.3,1.8473030835644293,2.434122610343811,194.70062655210495,780.56640625
0,0.0,-0.4,1.7164552187681992,3.8679578099107577,223.1496645603329,783.0712890625
0,0.0,0.4,1.7295272762158382,2.7791912793695572,215.35784902982414,781.8955078125
0,0.0,-0.5,1.5425345898339617,4.592437255323425,222.4909830931574,787.0419921875
0,0.0,0.5,1.5808087442445786,3.0261453077284726,244.61519273929298,783.1220703125
0,-0.1,0.0,2.0971649095856666,1.5961868974986844,147.5325181018561,773.4306640625
0,0.1,0.0,1.8969977430413976,1.6623663730653815,145.25946143642068,774.34765625
0,-0.1,-0.1,2.080410179861974,1.6780456220334306,155.82417818531394,781.837890625
0,-0.1,0.1,2.0802796091752596,1.699868471121558,145.98008893243968,779.859375
0,0.1,-0.1,1.8800785598138914,1.7530617647132043,156.98195784911513,779.9892578125
0,0.1,0.1,1.8801887546975613,1.6751680597466743,160.35154536552727,781.2705078125
0,-0.1,-0.2,2.0294740128436506,2.1934993645713083,155.5973147880286,783.248046875
0,-0.1,0.2,2.0290739700068525,2.0383764758469027,158.69861100055277,779.8662109375
0,0.1,-0.2,1.8282796911806096,2.282373054763056,170.34003539942205,780.970703125
0,0.1,0.2,1.829579513000892,1.9470974887201422,200.52195866964757,780.5732421875
0,-0.1,-0.3,1.9428407067024345,3.097340203860466,176.54734712652862,781.671875
0,-0.1,0.3,1.9435009193720119,2.472964434083398,194.58820069395006,780.8603515625
0,0.1,-0.3,1.7393219796610655,3.0816878168210904,200.61064933240414,780.1416015625
0,0.1,0.3,1.7453134300860087,2.3652577167396487,200.94639578275383,779.6416015625
0,-0.1,-0.4,1.8178117862992795,3.878719631090098,209.27046005800366,780.9140625
0,-0.1,0.4,1.8247426915861311,2.7945828757110514,196.77671927399933,780.22265625
0,0.1,-0.4,1.6090834634498616,3.866400232550301,233.45426194183528,780.3935546875
0,0.1,0.4,1.6285350084900063,2.7627359559700606,190.36651276238263,779.41015625
0,-0.1,-0.5,1.648584736124608,4.60898430547081,253.9090183582157,781.7060546875
0,-0.1,0.5,1.6747601832617518,3.0100801793991274,233.74460580106825,780.4970703125
0,0.1,-0.5,1.4300849100391662,4.622029433092857,231.5270472485572,781.32421875
0,0.1,0.5,1.4811074181873187,3.0705550740327947,218.2256389837712,781.09375
0,-0.2,0.0,2.1889462985045753,1.941508873403401,160.77811699733138,780.84375
0,0.2,0.0,1.7876005682710236,2.0527324729273397,158.79783971607685,776.759765625
0,-0.2,-0.1,2.1721652878066076,1.955689307334586,177.40655264630914,779.580078125
0,-0.2,0.1,2.1719484960556827,1.9944191759666203,169.79747940413654,780.390625
0,0.2,-0.1,1.770543976751024,2.081521159360017,161.96330343931913,779.412109375
0,0.2,0.1,1.7707557764687023,2.0367877987872856,164.93530262820423,780.5
0,-0.2,-0.2,2.1217192331826977,2.2400623976367187,171.30844465270638,781.0869140625
0,-0.2,0.2,2.12047092332178,2.2045389682531003,175.05607348680496,780.4384765625
0,0.2,-0.2,1.7183263600433645,2.420465479658044,198.86364251561463,781.5556640625
0,0.2,0.2,1.7204000464294336,2.162829234857656,197.5285935178399,781.6220703125
0,-0.2,-0.3,2.0362762619766577,3.110248023265081,201.08172020874918,781.0400390625
0,-0.2,0.3,2.0343220185327806,2.5724087815846346,188.58283916674554,780.8564453125
0,0.2,-0.3,1.6281297368361292,3.118134014158696,223.80804733932018,781.7080078125
0,0.2,0.3,1.6368830267225931,2.428290804513375,182.31616112403572,779.822265625
0,-0.2,-0.4,1.9136931656059846,3.936248439414402,204.396012974903,782.4052734375
0,-0.2,0.4,1.9146423801385488,2.8198468182068104,185.49578957259655,781.67578125
0,0.2,-0.4,1.4950309199526344,3.8279280254486068,202.39636585488915,781.732421875
0,0.2,0.4,1.5212055573610752,2.7366746971011575,196.88614460080862,780.1142578125
0,-0.2,-0.5,1.7488942470079418,4.6319667423816435,212.2769651003182,786.7822265625
0,-0.2,0.5,1.7634380365698965,2.9908955120087617,183.70118965022266,779.53125
0,0.2,-0.5,1.3104205837086786,4.648863637304298,233.00250465609133,779.3427734375
0,0.2,0.5,1.3751419769073259,3.031958868351976,201.53674174286425,781.1494140625
0,-0.3,0.0,2.275732407386137,2.155973310272804,180.5809947606176,781.431640625
0,0.3,0.0,1.6711371716225867,2.2836390665776682,133.7036862000823,776.6416015625
0,-0.3,-0.1,2.2589815752217914,2.127978018461554,205.77589387632906,782.31640625
0,-0.3,0.1,2.2586773529661284,2.14370622337639,198.2434630356729,780.630859375
0,0.3,-0.1,1.6539892282589748,2.335356176623041,172.0041637942195,780.7470703125
0,0.3,0.1,1.654311954487919,2.3112531580442517,169.23996696434915,781.2021484375
0,-0.3,-0.2,2.2089634430284733,2.320206361339024,169.7702212575823,781.1650390625
0,-0.3,0.2,2.206917847899715,2.3494465985595183,201.63361378014088,781.3671875
0,0.3,-0.2,1.601284659766346,2.5912606686446398,201.21252217143774,779.009765625
0,0.3,0.2,1.6042140654010382,2.3764192394402053,197.7086202427745,781.958984375
0,-0.3,-0.3,2.1247460491757666,3.1221051548869196,188.63012674450874,781.8330078125
0,-0.3,0.3,2.1202339030870765,2.6042147922553616,204.34624071978033,780.2275390625
0,0.3,-0.3,1.5097243216768235,3.125391034671878,197.20067795738578,780.0498046875
