,g,Ref Energy,Total Steps,Total Time,RAM Usage
0,-1.3,2.59245910930707,9,547.3507813200122,848.703125
1,-1.2,2.50483740984993,8,448.00227579299826,818.1708984375
2,-1.1,2.430251849283293,8,379.95504326198716,816.203125
3,-1.0,2.360485990351237,8,369.68533174099866,816.203125
4,-0.9,2.291830999880184,7,402.05736722401343,816.203125
5,-0.8,2.222253506083213,7,380.63371423300123,816.203125
6,-0.7,2.1508229206420113,7,316.93659721303266,816.203125
7,-0.6,2.0768052977316884,7,329.83550079201814,816.203125
8,-0.5,1.9996395441607582,7,331.0665439349832,816.203125
9,-0.4,1.9185200714244028,6,316.7168139499845,816.203125
10,-0.3,1.8337822769337249,6,305.7416441249661,816.203125
11,-0.2,1.744666896215686,6,308.9379347219947,816.203125
12,-0.1,1.650799895836346,6,268.54953712096903,816.203125
13,0.0,1.5517579895772953,6,269.43922007799847,816.203125
14,0.1,1.4470273039863055,6,256.78272838302655,816.203125
15,0.2,1.3363997483243268,5,225.35745528002735,816.203125
16,0.3,1.218056900426629,5,234.3952570700203,816.203125
17,0.4,1.091309288507935,5,225.90199138299795,816.203125
18,0.5,0.9544563180058113,5,209.83930265600793,816.203125
19,0.6,0.8049401099551455,5,210.6609023810015,816.203125
20,0.7,0.6386638924665891,5,215.6655593420146,816.203125
21,0.8,0.44723607874834853,6,249.3352744029835,816.203125
22,0.9,0.21524029249077373,7,288.413182385033,816.203125
23,1.0,-0.09615783168099044,8,300.86193834402366,816.203125
24,1.1,-0.6348304661412797,11,393.8819349069963,816.203125
25,1.2,-2.8252250768078735,19,652.8714335679542,816.203125
