,g,Ref Energy,Total Steps,Total Time,RAM Usage
0,-1.3,2.9195662751276656,5,225.0115933699999,586.1630859375
1,-1.2,2.8713356875043297,5,210.66317617404275,554.5634765625
2,-1.1,2.8198091786701815,4,166.58405279897852,521.6171875
3,-1.0,2.764790953642352,4,169.84532026201487,523.5693359375
4,-0.9,2.7063094408349757,4,166.88317445700523,521.6171875
5,-0.8,2.6442691270370324,4,177.93469666596502,521.6171875
6,-0.7,2.578553288255297,4,172.5824398599798,521.6171875
7,-0.6,2.509067077354536,3,108.24586327304132,488.8671875
8,-0.5,2.4355260595903334,3,106.67238835501485,488.8671875
9,-0.4,2.357823849052037,3,102.97210770397214,488.8671875
10,-0.3,2.2757215491481784,3,82.07468635297846,488.8671875
11,-0.2,2.1889760143457786,2,52.87739572598366,423.34375
12,-0.1,2.097165154134237,2,50.0976240359596,423.34375
13,0.0,2.0,2,52.1385850069928,423.34375
14,0.1,1.896998459494916,2,58.05585055396659,423.34375
15,0.2,1.7876417856978017,2,53.84206766402349,423.34375
16,0.3,1.6711240450865172,3,87.23565908503952,488.8671875
17,0.4,1.5467407656472332,3,102.32600164000178,488.8671875
18,0.5,1.4133996096357402,3,114.85665807203623,488.8671875
19,0.6,1.2695486322147906,4,141.944024359982,521.6171875
20,0.7,1.1135044504488103,4,152.48381904698908,521.6171875
21,0.8,0.9424549436502534,5,182.40175087103853,554.3671875
22,0.9,0.7526517111367138,5,204.29841940500773,554.3671875
23,1.0,0.537601781658826,6,262.2390863900073,587.1796875
24,1.1,0.28594469451828947,8,346.0674369930057,652.6796875
25,1.2,-0.02775949945253837,10,417.81193856702885,718.3046875
