,g,Ref Energy,Total Steps,Total Time,RAM Usage
0,-1.3,2.9317270741752006,5,201.6347922559944,848.203125
1,-1.2,2.8801993364038325,5,174.79269264201866,816.3994140625
2,-1.1,2.826092790553915,4,153.89081284898566,816.203125
3,-1.0,2.7690169236864692,4,161.83615294197807,818.1552734375
4,-0.9,2.7090139156724704,4,148.29847063898342,816.203125
5,-0.8,2.6458975344328057,4,149.77158948301803,816.203125
6,-0.7,2.579461066712742,4,142.93082616804168,816.203125
7,-0.6,2.50947071939271,3,110.08126188098686,816.140625
8,-0.5,2.435707116578739,3,111.62034804804716,816.140625
9,-0.4,2.3578902963335753,3,115.63109582400648,816.140625
10,-0.3,2.275739281508187,3,90.3777509519714,816.109375
11,-0.2,2.1889453605977183,2,62.62847046303796,815.984375
12,-0.1,2.097162996568725,2,68.86848802102031,815.984375
13,0.0,2.0,2,66.48079711396713,815.984375
14,0.1,1.8969957193300768,2,65.93149860098492,815.984375
15,0.2,1.7875922979076702,2,67.88903211103752,815.984375
16,0.3,1.6710834225540114,3,94.73924648104003,816.109375
17,0.4,1.5465385448944038,3,108.73240040702512,816.140625
18,0.5,1.4126624780870194,3,112.771886972012,816.140625
19,0.6,1.2674487016667533,4,138.9410500449594,816.203125
20,0.7,1.1078553087715501,4,153.88416483899346,816.203125
21,0.8,0.9280142121845211,5,185.61958251299802,816.203125
22,0.9,0.717336728346985,5,188.2858594430145,816.203125
23,1.0,0.4479820427322693,6,253.8404557610047,816.203125
24,1.1,0.03505448747580365,8,284.737650148978,816.203125
25,1.2,-0.9141072964787349,10,373.031256478047,816.203125
